product_name,review_rating,review_count,skin_type,review_text,url
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,복합성,"너무 묽지도, 너무 빽빽하지도 않은 쫀쫀하면서 밀도감 있는 크림 제형이라 사용하기 좋아요",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,복합성,제형이 굉장히 쫀쫀한 제형이라 건성분들이 바르기 좋아요~ 바르는순간 각질도 싹 잠재워주고 건조한것도 잘 잡아줍니당!! 피부에 바르면서 보습막을 싹 만들어줘서 피부장벽케어에도 좋아요~~,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,복합성,동아제약 제품들 올리브영에 나오고 진짜 다 써본 것 같아요!! 이번에 장벽 케어용 새로 나왔는데 기존 제품들에 비해 더더욱 덜 자극적인 것 같아요!! 한 달 뒤에 한달리뷰로 돌아올게요!,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,없음,점점 수분이 날라가서 푸석푸석해지니까 작은 자극에도 피부가 따끔따끔 거리더라구요 피부장벽이 무너져서 그렇다고해서 장벽크림 구매했는데 쫀쫀하고 너무 좋아요 !,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,없음,"저는 크림 고를 때 보습력도 중요하지만 화장 전에 발랐을 때 밀리는지를 제일 많이 보는 편이에요! 아무리 촉촉해도 베이스가 밀리면 아침에는 결국 손이 안 가더라고요ㅠ 이번에 동아제약 딥-베리어 프로 크림제를 써봤는데 양만 잘 조절하면 아침에도 꽤 사용하기 편해서 만족했어요💙 제형은 적당히 크리미하면서 피부에 부드럽게 펴 발리는 타입이고, 저는 손바닥으로 문지르기보다는 얼굴에 조금씩 나눠 올린 다음 얇게 펴 발라주고 있어요. 특히 코 옆, 입가, 볼처럼 베이스가 잘 뜨는 부위에 소량 발라주면 메이크업 전에 피부가 한결 촉촉하게 정돈되는 느낌이었어요✨ 중요한 건 바르고 바로 쿠션이나 파운데이션을 올리지 않는 거! 저는 크림을 얇게 바른 다음 2~3분 정도 충분히 흡수시키고 선크림, 베이스 순서로 넘어가는데 이렇게 사용하니까 훨씬 깔끔하더라고요ㅎㅎ 밤에는 반대로 조금 넉넉하게 발라서 보습 위주로 사용하고 있어요. 💡 저만의 꿀팁은 아침에는 콩알보다 적은 양으로 시작해서 필요한 부분에만 추가하는 거예요! 특히 T존은 최소한으로 바르고 볼, 입가 위주로 발라주니까 번들거림 부담도 줄고 메이크업하기 편했어요😊 본품 50ml에 10ml 추가 구성이라 작은 사이즈는 파우치에 넣어 다니거나 여행용으로 쓰기 좋다는 점도 마음에 들어요. 아침저녁으로 양 조절해서 활용할 수 있는 크림 찾으신다면 한 번 참고해보셔도 좋을 것 같아요💄✨ 제 후기가 조금이라도 도움이 되셨다면 ‘도움돼요’ 버튼 한 번 부탁드려요 🩷",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,없음,크림이 너무 묽지 않고 적당히 쫀쫀한 제형이라 피부에 펴 바를 때 밀착되는 느낌이었어요! 그렇다고 바른 뒤 유분감이 겉돌거나 답답하게 남는 느낌은 심하지 않았고 건조해서 당기는 부위에는 한 번 더 덧발라주기 좋았어요. 특히 밤에 듬뿍 발라두고 자면 다음 날까지 피부가 푸석하지 않고 촉촉한 느낌이 남아 있어서 요즘 나이트 크림으로 자주 사용하고 있습니당,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,복합성,피부 장벽이 무너진 듯 따갑고 건조할 때 사용해봤어요. 크림이 부드럽게 펴 발리고 겉돌지 않아 편했어요. 바르고 나면 속당김이 덜하고 촉촉함이 오래가서 밤에 듬뿍 바르기 좋아요. 향이 강하지 않은 점도 마음에 들어요. 민감할 때도 잘 썼어요.,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,복합성,파티온 라인 잘 쓰는데용 동아제약에서 나왔다해서 바로 겓 했어요! 제형이 적당히 쫀쫀한 편인데 피부에 펴 바르면 부드럽게 발리고 촉촉하게 발리네융. 건조해서 피부가 당기는 날 듬뿍 발라주면 보습감이 오래 유지되는 느낌이라 굳굳입니당! 자기 전에 꾸준히 발라주고 있는데 아침에 일어났을 때 피부가 촉촉~ 발에 발라줘도 보습이 잘 돼요... 가을되니 좀 건조한느낌?! 발 갈라짐에도 좋은건 비밀!,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,복합성,피부 장벽이 무너진 느낌이 들어서 구매해봤어요. 편안하게 스며드는 편이라 매일 밤 부담 없이 쓸 수 있었어요. 며칠 발라주니까 예전엔 자주 당기던 볼 부위가 한결 촉촉하게 유지되는것같아요!,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
[습윤장벽] 동아제약 딥-베리어 프로 크림제 50ml 기획 (+10ml),5.0,646,복합성,촉촉하고 부드러운 크림 제형이라 건조한 피부에 바르기 좋았음. 너무 무겁거나 끈적이지 않으면서 피부가 편안하고 촉촉하게 유지되는 느낌이라 데일리 보습용으로 만족스러웠음. 10ml 추가 구성도 실용적이었음.,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000263679&dispCatNo=100000100010015&trackingCd=Cat100000100010015_Small&t_page=카테고리관&t_click=크림_전체__상품상세&t_number=14
